expense_id,employee_id,amount,receipt_quality,ocr_confidence,previous_violations,department,category,currency,vendor_country,payment_method,expense_date,submission_date,requires_approval,has_receipt,manual_review_required,vendor_id,vendor_name,notes,approval_status,approval_date,is_violation
31,1276,7220.42,0.11,0.24,4,Engineering,Meals,INR,IN,Cash,2025-02-01,2025-02-01,1,1,1,2051,VendorB,Justified,Approved,2025-02-08,1
32,1160,2788.35,0.21,0.64,1,Engineering,Supplies,INR,US,Cash,2025-01-18,2025-01-24,0,1,0,2708,VendorA,,Approved,2025-02-08,0
33,1459,3230.53,0.62,0.52,1,Finance,Travel,INR,IN,Net Banking,2025-02-07,2025-02-14,0,0,1,2906,VendorC,,Approved,2025-02-08,0
34,1313,8465.21,0.42,0.36,4,Marketing,Travel,INR,UK,UPI,2025-01-25,2025-01-31,1,1,0,2423,VendorA,Justified,Approved,2025-02-08,0
35,1021,4815.59,0.5,0.65,1,Finance,Meals,INR,US,Net Banking,2025-02-05,2025-02-11,1,0,0,2645,VendorB,Justified,Rejected,2025-02-08,1
36,1252,6730.57,0.95,0.58,0,Sales,Meals,INR,US,Credit Card,2025-01-30,2025-02-03,1,1,0,2066,VendorB,,Rejected,2025-02-08,1
37,1747,4083.49,0.42,0.91,1,Marketing,Travel,INR,IN,Net Banking,2025-01-28,2025-02-03,0,1,1,2671,VendorC,,Approved,2025-02-08,0
38,1856,3050.27,0.88,0.6,0,Sales,Travel,INR,IN,Net Banking,2025-01-16,2025-01-25,1,1,1,2073,VendorB,Justified,Approved,2025-02-08,0
39,1560,6292.23,0.66,0.51,1,Marketing,Meals,INR,IN,Net Banking,2025-01-24,2025-01-27,1,1,0,2935,VendorA,,Rejected,2025-02-08,1
40,1474,1633.09,0.12,0.82,2,Sales,Travel,INR,IN,Credit Card,2025-01-16,2025-01-16,1,1,1,2374,VendorA,Justified,Rejected,2025-02-08,0
41,1058,3792.7,0.74,0.2,2,Finance,Supplies,INR,IN,UPI,2025-02-03,2025-02-12,0,0,1,2019,VendorC,,Approved,2025-02-08,1
42,1510,2169.47,0.52,0.24,2,IT,Supplies,INR,IN,UPI,2025-01-20,2025-01-23,1,0,1,2273,VendorC,Justified,Rejected,2025-02-08,0
43,1681,6988.37,0.23,0.78,0,HR,Travel,INR,IN,Cash,2025-01-13,2025-01-16,0,1,0,2993,VendorB,Justified,Rejected,2025-02-08,1
44,1475,9447.67,0.29,0.44,0,Engineering,Travel,INR,IN,Cash,2025-02-04,2025-02-07,0,0,1,2849,VendorA,Justified,Rejected,2025-02-08,0
45,1699,9955.56,0.56,0.41,3,Finance,Meals,INR,IN,Cash,2025-01-19,2025-01-24,1,0,1,2257,VendorA,Justified,Approved,2025-02-08,1
46,1975,51373.09438678877,0.6,0.89,3,Marketing,Supplies,INR,IN,Net Banking,2025-01-12,2025-01-12,0,0,1,2012,VendorC,Justified,Approved,2025-02-08,1
47,1782,2600.05,0.97,0.61,1,IT,Supplies,INR,IN,Net Banking,2025-01-10,2025-01-13,1,1,0,2055,VendorB,Justified,Approved,2025-02-08,0
48,1189,4484.01,0.85,0.8,0,Operations,Supplies,INR,UK,Cash,2025-01-26,2025-01-26,1,1,0,2685,VendorC,,Approved,2025-02-08,0
49,1957,8487.97,0.21,0.81,2,HR,Supplies,INR,IN,Credit Card,2025-02-02,2025-02-02,1,0,1,2763,VendorA,Justified,Rejected,2025-02-08,1
50,1686,2139.46,0.77,0.12,2,Operations,Supplies,INR,IN,Net Banking,2025-01-17,2025-01-21,0,1,0,2372,VendorB,Justified,Approved,2025-02-08,0
51,1957,9525.75,0.01,0.65,2,Sales,Supplies,INR,IN,Credit Card,2025-01-12,2025-01-21,0,0,0,2957,VendorA,Justified,Approved,2025-02-08,1
52,1562,3484.47,0.13,0.95,1,Marketing,Meals,INR,IN,Credit Card,2025-02-01,2025-02-09,1,1,0,2972,VendorB,,Rejected,2025-02-08,1
53,1875,9859.46,0.2,0.48,0,Operations,Travel,INR,IN,Net Banking,2025-01-23,2025-01-31,0,0,0,2814,VendorA,Justified,Approved,2025-02-08,0
54,1566,77323.80714215401,0.6,0.73,1,Marketing,Supplies,INR,IN,Cash,2025-01-31,2025-01-31,0,0,0,2442,VendorC,,Approved,2025-02-08,1
55,1243,8104.85,0.19,0.57,4,HR,Meals,INR,IN,UPI,2025-01-14,2025-01-19,0,1,1,2473,VendorB,,Approved,2025-02-08,1
56,1831,3247.26,0.37,0.2,4,IT,Meals,INR,IN,UPI,2025-01-15,2025-01-23,1,0,1,2319,VendorC,Justified,Approved,2025-02-08,1
57,1504,186.89,0.24,0.2,3,Marketing,Travel,INR,IN,UPI,2025-01-30,2025-01-30,1,0,0,2907,VendorB,Justified,Rejected,2025-02-08,0
58,1130,3883.12,0.34,0.43,0,Operations,Travel,INR,IN,Credit Card,2025-01-30,2025-01-31,1,1,1,2395,VendorC,Justified,Approved,2025-02-08,0
59,1484,3087.91,0.94,0.48,2,IT,Travel,INR,IN,Cash,2025-01-10,2025-01-19,1,1,1,2395,VendorC,Justified,Approved,2025-02-08,0
60,1818,470.23,1.0,0.5,0,Operations,Travel,INR,IN,Net Banking,2025-01-20,2025-01-22,1,1,0,2502,VendorB,Justified,Rejected,2025-02-08,0
61,1646,27290.52139176533,0.69,0.96,3,Finance,Travel,INR,US,Credit Card,2025-01-16,2025-01-20,1,1,1,2619,VendorC,Justified,Approved,2025-02-08,1
62,1020,4090.01,0.57,0.1,2,Marketing,Meals,INR,IN,Net Banking,2025-01-20,2025-01-29,1,1,0,2406,VendorB,Justified,Approved,2025-02-08,0
63,1840,6382.11,0.71,0.38,1,Sales,Travel,INR,UK,Net Banking,2025-01-18,2025-01-25,0,1,1,2017,VendorA,,Approved,2025-02-08,0
64,1166,6249.74,0.77,0.51,2,HR,Meals,INR,IN,Credit Card,2025-01-28,2025-01-30,0,1,0,2407,VendorB,Justified,Rejected,2025-02-08,1
65,1273,1295.39,0.74,0.96,4,Engineering,Supplies,INR,IN,Credit Card,2025-01-13,2025-01-19,0,1,0,2558,VendorA,Justified,Rejected,2025-02-08,0
66,1387,9771.96,0.08,0.5,1,HR,Supplies,INR,IN,Cash,2025-01-23,2025-01-23,0,1,0,2986,VendorA,Justified,Approved,2025-02-08,1
67,1600,1950.62,0.31,0.78,2,Operations,Travel,INR,IN,Credit Card,2025-01-30,2025-02-08,0,0,1,2581,VendorB,Justified,Approved,2025-02-08,0
68,1315,4508.21,0.34,0.75,1,Operations,Supplies,INR,IN,Net Banking,2025-01-24,2025-01-28,1,0,1,2551,VendorA,,Approved,2025-02-08,0
69,1013,4932.36,0.37,0.57,4,Sales,Meals,INR,UK,Cash,2025-01-28,2025-01-29,1,1,1,2684,VendorC,Justified,Rejected,2025-02-08,1
70,1241,8149.32,0.34,0.13,4,Marketing,Supplies,INR,IN,Net Banking,2025-01-10,2025-01-14,1,1,0,2578,VendorA,,Approved,2025-02-08,1
71,1776,1082.37,0.79,0.22,0,Finance,Supplies,INR,UK,Cash,2025-01-31,2025-02-04,0,0,1,2626,VendorB,,Rejected,2025-02-08,1
72,1345,4343.58,0.75,0.24,4,Finance,Supplies,INR,IN,Net Banking,2025-02-05,2025-02-14,1,0,1,2445,VendorC,Justified,Rejected,2025-02-08,1
73,1564,6322.17,0.0,0.04,4,HR,Supplies,INR,IN,Cash,2025-01-25,2025-01-30,1,1,0,2825,VendorC,Justified,Approved,2025-02-08,1
74,1897,2230.04,0.3,0.38,4,Engineering,Meals,INR,IN,Credit Card,2025-02-02,2025-02-06,1,1,1,2114,VendorB,Justified,Approved,2025-02-08,0
75,1339,6311.93,0.62,0.61,3,Sales,Supplies,INR,IN,UPI,2025-02-03,2025-02-03,0,1,1,2990,VendorB,Justified,Rejected,2025-02-08,1
76,1091,9244.28,0.12,0.14,4,HR,Travel,INR,IN,Net Banking,2025-01-28,2025-02-06,0,1,1,2109,VendorA,Justified,Rejected,2025-02-08,1
77,1366,9975.43,0.07,0.18,0,Engineering,Meals,INR,UK,Net Banking,2025-01-11,2025-01-12,0,1,0,2120,VendorC,,Approved,2025-02-08,1
78,1955,421.27,0.83,0.71,1,IT,Travel,INR,IN,Cash,2025-01-29,2025-02-04,1,1,1,2863,VendorA,Justified,Rejected,2025-02-08,0
79,1454,2432.32,0.45,0.17,3,Operations,Meals,INR,IN,Credit Card,2025-01-19,2025-01-21,1,1,1,2603,VendorB,Justified,Rejected,2025-02-08,0
80,1427,3172.04,0.86,0.14,1,IT,Supplies,INR,IN,Credit Card,2025-01-28,2025-02-04,1,1,1,2693,VendorA,Justified,Rejected,2025-02-08,0
81,1508,4051.35,0.82,0.98,1,HR,Meals,INR,IN,Cash,2025-02-02,2025-02-03,1,1,1,2008,VendorC,Justified,Rejected,2025-02-08,0
82,1775,2498.35,0.89,0.01,0,Engineering,Travel,INR,IN,Credit Card,2025-01-31,2025-02-02,0,0,1,2545,VendorA,,Rejected,2025-02-08,0
83,1942,2114.53,0.05,0.33,3,Engineering,Travel,INR,IN,Credit Card,2025-01-15,2025-01-24,1,0,0,2571,VendorB,Justified,Rejected,2025-02-08,0
84,1034,122964.90208142379,0.19,0.03,2,IT,Meals,INR,IN,Cash,2025-01-25,2025-01-31,0,1,1,2282,VendorB,,Approved,2025-02-08,1
85,1205,9193.36,0.3,0.84,4,Finance,Travel,INR,IN,Net Banking,2025-01-26,2025-01-26,0,1,0,2922,VendorB,Justified,Approved,2025-02-08,0
86,1080,565.23,0.14,0.58,1,Finance,Travel,INR,US,Cash,2025-02-05,2025-02-14,0,0,0,2443,VendorA,Justified,Rejected,2025-02-08,0
87,1931,3454.25,0.49,0.05,1,Sales,Meals,INR,UK,UPI,2025-01-10,2025-01-14,0,0,1,2249,VendorA,,Approved,2025-02-08,1
88,1561,4110.97,0.8,0.62,0,IT,Supplies,INR,IN,Cash,2025-02-02,2025-02-08,0,1,1,2536,VendorA,Justified,Approved,2025-02-08,0
89,1871,2466.24,0.95,0.12,0,Finance,Supplies,INR,IN,Cash,2025-01-22,2025-01-22,0,1,0,2617,VendorB,,Rejected,2025-02-08,1
90,1387,6325.84,0.89,0.5,0,Engineering,Supplies,INR,IN,Credit Card,2025-02-07,2025-02-07,1,1,0,2082,VendorB,Justified,Approved,2025-02-08,0
91,1001,6439.77,0.46,0.67,3,HR,Travel,INR,IN,Net Banking,2025-01-28,2025-01-31,1,0,1,2461,VendorC,Justified,Rejected,2025-02-08,1
92,1389,8519.99,0.64,0.15,4,Finance,Travel,INR,IN,UPI,2025-02-07,2025-02-13,1,1,1,2761,VendorB,Justified,Rejected,2025-02-08,0
93,1565,7434.61,0.23,0.5,3,Sales,Supplies,INR,UK,Credit Card,2025-01-12,2025-01-12,1,0,1,2807,VendorA,,Rejected,2025-02-08,1
94,1105,5471.48,0.4,0.46,0,Engineering,Meals,INR,US,Credit Card,2025-01-14,2025-01-19,1,0,0,2338,VendorC,Justified,Rejected,2025-02-08,1
95,1771,6570.51,0.87,0.92,0,Sales,Supplies,INR,IN,Credit Card,2025-01-25,2025-01-28,1,0,0,2587,VendorA,,Rejected,2025-02-08,1
96,1821,2812.49,0.03,1.0,1,Marketing,Meals,INR,UK,Net Banking,2025-01-13,2025-01-17,1,1,0,2478,VendorB,,Approved,2025-02-08,0
97,1476,5971.26,0.53,0.65,3,HR,Travel,INR,US,Cash,2025-01-11,2025-01-12,1,1,1,2803,VendorC,,Approved,2025-02-08,1
98,1702,4943.35,0.87,0.85,3,Engineering,Travel,INR,IN,Cash,2025-01-30,2025-01-31,0,1,1,2152,VendorA,Justified,Approved,2025-02-08,0
99,1401,19952.207092532437,0.12,0.65,4,Marketing,Supplies,INR,IN,UPI,2025-01-29,2025-02-07,1,1,0,2441,VendorB,Justified,Approved,2025-02-08,1
100,1729,2501.19,0.98,0.88,3,Marketing,Meals,INR,IN,Net Banking,2025-01-27,2025-02-04,0,1,1,2572,VendorA,Justified,Approved,2025-02-08,0
101,1555,2987.77,0.01,0.43,4,Marketing,Meals,INR,IN,Cash,2025-01-18,2025-01-23,0,0,1,2179,VendorA,Justified,Approved,2025-02-08,0
102,1161,9250.66,0.89,0.61,2,Operations,Supplies,INR,IN,UPI,2025-01-11,2025-01-13,0,0,1,2637,VendorA,Justified,Approved,2025-02-08,1
103,1201,2380.83,0.35,0.85,4,Marketing,Meals,INR,IN,Net Banking,2025-01-16,2025-01-17,0,1,0,2773,VendorC,,Rejected,2025-02-08,0
104,1957,2963.51,0.13,0.92,0,HR,Travel,INR,IN,UPI,2025-02-04,2025-02-12,1,1,0,2013,VendorA,Justified,Approved,2025-02-08,1
105,1995,3756.61,0.16,0.02,2,Operations,Meals,INR,UK,Credit Card,2025-01-21,2025-01-27,1,0,0,2518,VendorC,Justified,Rejected,2025-02-08,0
106,1269,6671.05,0.7,0.1,1,Marketing,Travel,INR,IN,Cash,2025-01-28,2025-02-05,0,0,1,2988,VendorA,Justified,Rejected,2025-02-08,0
107,1862,1270.56,0.87,0.93,1,Finance,Supplies,INR,IN,UPI,2025-01-17,2025-01-24,1,0,1,2729,VendorA,,Approved,2025-02-08,1
108,1815,9544.06,0.64,0.57,1,Sales,Meals,INR,IN,Net Banking,2025-01-23,2025-01-30,0,1,0,2673,VendorC,Justified,Rejected,2025-02-08,1
109,1270,8669.16,0.93,0.99,0,Finance,Supplies,INR,IN,Net Banking,2025-01-21,2025-01-25,0,0,1,2998,VendorB,,Approved,2025-02-08,1
110,1455,5814.44,0.84,0.79,1,Engineering,Supplies,INR,IN,Net Banking,2025-02-01,2025-02-07,0,1,1,2035,VendorC,Justified,Approved,2025-02-08,0
111,1461,6772.97,0.01,0.82,4,IT,Meals,INR,UK,Net Banking,2025-01-19,2025-01-23,0,0,0,2630,VendorA,Justified,Approved,2025-02-08,1
112,1726,264.94,0.67,0.39,0,Engineering,Meals,INR,IN,Cash,2025-02-04,2025-02-13,1,0,0,2050,VendorB,Justified,Rejected,2025-02-08,0
113,1251,53875.98019782268,0.3,0.26,3,Marketing,Meals,INR,IN,Credit Card,2025-02-06,2025-02-12,0,0,1,2074,VendorA,Justified,Rejected,2025-02-08,1
114,1701,7977.04,0.45,0.6,0,Sales,Travel,INR,IN,Cash,2025-01-30,2025-02-04,0,1,0,2971,VendorC,Justified,Rejected,2025-02-08,0
115,1295,867.08,0.09,0.88,0,Sales,Supplies,INR,IN,Cash,2025-01-27,2025-01-30,1,0,1,2208,VendorB,Justified,Rejected,2025-02-08,1
116,1724,2894.91,0.28,0.73,3,Sales,Travel,INR,UK,Net Banking,2025-01-11,2025-01-17,1,1,1,2618,VendorC,,Approved,2025-02-08,0
117,1719,5894.44,0.63,0.47,4,Operations,Supplies,INR,IN,UPI,2025-01-10,2025-01-15,0,0,1,2744,VendorC,Justified,Approved,2025-02-08,0
118,1748,2638.49,0.22,0.75,2,Sales,Supplies,INR,IN,Credit Card,2025-01-20,2025-01-26,0,1,1,2470,VendorA,,Rejected,2025-02-08,1
119,1337,9346.38,0.65,0.69,3,HR,Travel,INR,IN,Net Banking,2025-01-17,2025-01-26,0,0,0,2670,VendorA,Justified,Approved,2025-02-08,1
120,1878,1397.48,0.92,0.91,0,IT,Supplies,INR,IN,Cash,2025-01-13,2025-01-13,0,1,1,2125,VendorC,Justified,Approved,2025-02-08,0
121,1052,7994.2,0.0,0.26,1,Engineering,Travel,INR,US,Credit Card,2025-01-11,2025-01-19,0,0,0,2337,VendorA,,Rejected,2025-02-08,0
122,1791,5128.69,0.79,0.12,3,Operations,Meals,INR,IN,Cash,2025-01-30,2025-02-08,1,1,1,2948,VendorC,Justified,Rejected,2025-02-08,1
123,1921,7528.27,0.64,0.47,3,Operations,Supplies,INR,IN,UPI,2025-01-15,2025-01-22,1,1,0,2755,VendorC,Justified,Rejected,2025-02-08,1
124,1216,3176.08,0.05,0.36,2,Finance,Travel,INR,IN,UPI,2025-01-14,2025-01-16,1,0,0,2188,VendorB,Justified,Rejected,2025-02-08,0
125,1763,5193.45,0.79,0.97,0,Engineering,Meals,INR,IN,UPI,2025-01-10,2025-01-10,0,0,1,2153,VendorB,Justified,Rejected,2025-02-08,1
126,1187,8582.67,0.22,0.01,1,Engineering,Supplies,INR,IN,UPI,2025-01-16,2025-01-17,1,1,1,2342,VendorC,Justified,Rejected,2025-02-08,1
127,1379,4722.09,0.27,0.93,1,Sales,Supplies,INR,IN,Credit Card,2025-01-14,2025-01-19,0,0,1,2945,VendorB,,Approved,2025-02-08,1
128,1492,3661.23,0.09,0.96,2,Marketing,Supplies,INR,IN,UPI,2025-01-29,2025-02-04,0,1,1,2519,VendorC,Justified,Approved,2025-02-08,0
129,1040,5407.94,0.53,0.05,1,Sales,Supplies,INR,IN,Credit Card,2025-01-30,2025-01-31,0,0,0,2662,VendorB,,Rejected,2025-02-08,1
130,1156,7201.89,0.5,0.89,4,Operations,Meals,INR,IN,Net Banking,2025-02-03,2025-02-10,1,1,1,2970,VendorB,,Rejected,2025-02-08,1
131,1014,4491.28,0.35,0.47,3,Engineering,Supplies,INR,IN,Net Banking,2025-01-16,2025-01-21,1,1,1,2222,VendorC,Justified,Rejected,2025-02-08,0
132,1812,9394.88,0.17,0.77,3,Sales,Supplies,INR,IN,Net Banking,2025-01-18,2025-01-22,1,0,0,2914,VendorB,,Rejected,2025-02-08,1
133,1064,3019.96,0.84,0.08,1,Marketing,Meals,INR,IN,Cash,2025-02-07,2025-02-11,1,0,1,2533,VendorA,Justified,Rejected,2025-02-08,0
134,1856,4807.09,0.88,0.96,1,Finance,Meals,INR,IN,Credit Card,2025-01-23,2025-01-28,0,1,1,2168,VendorC,,Rejected,2025-02-08,1
135,1838,7593.58,0.54,0.61,1,IT,Supplies,INR,IN,Net Banking,2025-01-16,2025-01-16,0,0,0,2080,VendorA,Justified,Approved,2025-02-08,1
136,1520,6922.3,0.24,0.9,3,Operations,Meals,INR,IN,Net Banking,2025-01-11,2025-01-13,1,1,0,2432,VendorB,Justified,Rejected,2025-02-08,1
137,1343,8650.05,0.1,0.67,1,Finance,Meals,INR,IN,Net Banking,2025-01-30,2025-02-05,1,1,0,2184,VendorC,Justified,Approved,2025-02-08,1
138,1128,9968.41,0.87,0.54,4,Finance,Travel,INR,IN,Net Banking,2025-02-03,2025-02-08,1,1,1,2090,VendorA,Justified,Rejected,2025-02-08,0
139,1647,4325.9,0.1,0.17,4,HR,Meals,INR,IN,Credit Card,2025-02-04,2025-02-10,1,0,0,2286,VendorA,Justified,Rejected,2025-02-08,0
140,1471,1200.39,0.01,0.18,3,IT,Travel,INR,IN,Credit Card,2025-02-03,2025-02-04,0,1,1,2272,VendorB,,Rejected,2025-02-08,0
141,1062,401.12,0.47,0.47,0,Finance,Travel,INR,IN,Cash,2025-02-04,2025-02-09,1,0,0,2528,VendorC,Justified,Approved,2025-02-08,0
142,1138,7296.08,0.73,0.87,0,HR,Travel,INR,IN,Net Banking,2025-01-14,2025-01-18,0,0,0,2107,VendorC,Justified,Approved,2025-02-08,1
143,1498,8752.74,0.46,0.12,0,HR,Travel,INR,IN,UPI,2025-01-25,2025-01-27,1,0,1,2353,VendorC,Justified,Rejected,2025-02-08,1
144,1592,2285.05,0.05,1.0,4,Engineering,Travel,INR,IN,Credit Card,2025-01-12,2025-01-21,0,0,1,2354,VendorC,Justified,Rejected,2025-02-08,0
145,1391,1668.64,0.69,0.88,2,Sales,Meals,INR,IN,Credit Card,2025-01-13,2025-01-14,0,1,0,2266,VendorB,Justified,Rejected,2025-02-08,0
146,1674,715.83,0.64,0.39,0,Finance,Meals,INR,IN,Cash,2025-01-11,2025-01-15,1,0,0,2211,VendorB,Justified,Approved,2025-02-08,0
147,1418,8244.76,0.68,0.25,2,Operations,Meals,INR,IN,Net Banking,2025-01-31,2025-02-06,1,1,1,2059,VendorB,Justified,Rejected,2025-02-08,1
148,1288,3182.68,0.21,0.92,3,Engineering,Supplies,INR,UK,UPI,2025-01-26,2025-01-31,1,1,0,2515,VendorB,Justified,Rejected,2025-02-08,0
149,1378,4076.8,0.8,0.12,4,IT,Meals,INR,UK,Cash,2025-01-18,2025-01-20,1,1,0,2057,VendorB,Justified,Rejected,2025-02-08,1
150,1772,5077.23,0.48,0.35,0,Sales,Travel,INR,UK,Net Banking,2025-01-28,2025-02-02,0,1,1,2386,VendorC,,Approved,2025-02-08,0
151,1489,8410.59,0.54,0.08,4,Operations,Supplies,INR,IN,UPI,2025-01-18,2025-01-26,0,0,1,2327,VendorC,Justified,Rejected,2025-02-08,1
152,1230,6543.25,0.55,0.95,3,Operations,Supplies,INR,IN,UPI,2025-01-18,2025-01-20,0,0,1,2243,VendorC,Justified,Rejected,2025-02-08,0
153,1040,6189.14,0.29,0.62,4,HR,Meals,INR,US,Credit Card,2025-01-10,2025-01-11,0,0,1,2504,VendorC,Justified,Rejected,2025-02-08,1
154,1027,1839.15,0.25,0.34,1,Finance,Supplies,INR,IN,UPI,2025-01-16,2025-01-24,0,1,1,2510,VendorC,Justified,Rejected,2025-02-08,1
155,1134,5180.58,0.0,0.28,0,HR,Meals,INR,IN,UPI,2025-01-11,2025-01-15,1,1,0,2867,VendorC,Justified,Rejected,2025-02-08,1
156,1200,7182.27,0.4,0.44,4,HR,Meals,INR,US,Credit Card,2025-01-11,2025-01-11,0,0,1,2547,VendorA,Justified,Approved,2025-02-08,1
157,1839,9735.28,0.49,0.09,4,Finance,Travel,INR,IN,UPI,2025-01-25,2025-01-25,0,1,1,2298,VendorC,Justified,Approved,2025-02-08,0
158,1779,2093.92,0.74,0.89,4,Finance,Supplies,INR,IN,Net Banking,2025-01-29,2025-02-06,0,1,1,2082,VendorA,,Approved,2025-02-08,1
159,1929,194.48,0.07,0.51,3,Marketing,Supplies,INR,IN,Net Banking,2025-02-01,2025-02-08,1,0,1,2509,VendorC,Justified,Rejected,2025-02-08,0
160,1032,845.48,0.92,0.73,0,Finance,Supplies,INR,IN,Credit Card,2025-01-20,2025-01-21,1,0,0,2787,VendorA,Justified,Rejected,2025-02-08,1
161,1047,3820.94,0.26,0.23,0,HR,Meals,INR,IN,Credit Card,2025-01-22,2025-01-22,0,0,1,2004,VendorC,Justified,Approved,2025-02-08,0
162,1502,8223.39,0.37,0.5,1,Sales,Supplies,INR,IN,Credit Card,2025-01-15,2025-01-24,1,1,1,2473,VendorA,Justified,Approved,2025-02-08,1
163,1406,170.71,0.05,0.21,1,Marketing,Travel,INR,US,Cash,2025-01-12,2025-01-20,1,1,0,2241,VendorA,Justified,Rejected,2025-02-08,0
