expense_id,employee_id,department,submission_date,expense_date,amount,currency,vendor,category,payment_method,has_justification,is_violation
EXP000019,EMP011,HR,12/30/2024,12/17/2024,1045.95,USD,Airlines Corp,Training,Cash,TRUE,FALSE
EXP000020,EMP048,HR,5/16/2024,5/3/2024,175.67,USD,Local Restaurant,Training,Personal Card,TRUE,FALSE
EXP000021,EMP012,HR,2/9/2024,1/23/2024,315.58,USD,Local Restaurant,Office Supplies,Corporate Card,TRUE,FALSE
EXP000022,EMP022,Marketing,6/1/2024,5/23/2024,802.84,USD,Airlines Corp,Technology,Corporate Card,FALSE,FALSE
EXP000023,EMP003,Engineering,12/24/2024,12/8/2024,984.89,USD,Hotel Chain,Training,Cash,TRUE,FALSE
EXP000024,EMP027,Sales,2/12/2024,2/8/2024,955.81,USD,Hotel Chain,Technology,Personal Card,TRUE,FALSE
EXP000025,EMP030,Sales,10/8/2024,10/1/2024,268.51,USD,Restaurant A,Meals,Cash,TRUE,TRUE
EXP000026,EMP028,Finance,1/26/2024,1/22/2024,1029.12,USD,Tech Store,Technology,Corporate Card,TRUE,FALSE
EXP000027,EMP004,HR,12/30/2024,12/11/2024,2667.5,USD,Training Corp,Technology,Cash,TRUE,TRUE
EXP000028,EMP044,Finance,10/3/2024,9/10/2024,3717.48,USD,Tech Store,Technology,Corporate Card,TRUE,TRUE
EXP000029,EMP008,Finance,7/15/2024,7/1/2024,361.01,USD,Restaurant A,Office Supplies,Cash,TRUE,FALSE
EXP000030,EMP021,HR,6/23/2024,6/10/2024,278.43,USD,Airlines Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000031,EMP028,Engineering,7/27/2024,7/1/2024,147.32,USD,Tech Store,Office Supplies,Corporate Card,TRUE,FALSE
EXP000032,EMP021,HR,10/29/2024,10/13/2024,366.41,USD,Training Corp,Office Supplies,Cash,TRUE,FALSE
EXP000033,EMP028,Engineering,8/24/2024,8/10/2024,281.24,USD,Hotel Chain,Technology,Cash,TRUE,FALSE
EXP000034,EMP028,Marketing,4/16/2024,3/18/2024,547.15,USD,Office Store,Training,Corporate Card,TRUE,FALSE
EXP000035,EMP007,Marketing,1/28/2024,1/2/2024,849.04,USD,Restaurant A,Training,Cash,FALSE,FALSE
EXP000036,EMP048,Sales,10/5/2024,9/23/2024,438.55,USD,Restaurant A,Office Supplies,Personal Card,TRUE,TRUE
EXP000037,EMP034,Sales,1/23/2024,1/13/2024,53.5,USD,Airlines Corp,Meals,Cash,TRUE,FALSE
EXP000038,EMP018,Marketing,9/28/2024,9/3/2024,1164.82,USD,Local Restaurant,Training,Personal Card,TRUE,FALSE
EXP000039,EMP045,Marketing,5/15/2024,5/9/2024,3832.69,USD,Local Restaurant,Travel,Cash,TRUE,FALSE
EXP000040,EMP032,HR,7/2/2024,6/11/2024,958.5,USD,Hotel Chain,Training,Personal Card,TRUE,FALSE
EXP000041,EMP042,Marketing,3/6/2024,2/28/2024,7173.77,USD,Office Store,Travel,Personal Card,TRUE,TRUE
EXP000042,EMP011,Engineering,7/18/2024,7/1/2024,1381.81,USD,Airlines Corp,Technology,Corporate Card,TRUE,FALSE
EXP000043,EMP049,Engineering,10/8/2024,10/5/2024,1072.58,USD,Restaurant A,Training,Personal Card,TRUE,FALSE
EXP000044,EMP002,Marketing,8/6/2024,7/8/2024,2580.44,USD,Airlines Corp,Travel,Corporate Card,TRUE,FALSE
EXP000045,EMP018,Engineering,6/25/2024,6/3/2024,1150.03,USD,Office Store,Technology,Corporate Card,TRUE,FALSE
EXP000046,EMP037,Marketing,5/23/2024,5/18/2024,898.24,USD,Tech Store,Office Supplies,Personal Card,TRUE,TRUE
EXP000047,EMP045,Sales,12/4/2024,12/4/2024,777.77,USD,Hotel Chain,Technology,Cash,TRUE,FALSE
EXP000048,EMP047,Sales,5/6/2024,4/14/2024,780.13,USD,Training Corp,Travel,Corporate Card,TRUE,FALSE
EXP000049,EMP044,HR,6/21/2024,6/14/2024,294.92,USD,Airlines Corp,Office Supplies,Cash,FALSE,FALSE
EXP000050,EMP031,HR,5/17/2024,4/27/2024,601.07,USD,Airlines Corp,Training,Cash,TRUE,FALSE
EXP000051,EMP007,Marketing,7/21/2024,6/24/2024,96.29,USD,Online Retailer,Training,Personal Card,TRUE,FALSE
EXP000052,EMP006,Sales,6/2/2024,5/25/2024,1804.91,USD,Training Corp,Travel,Corporate Card,TRUE,FALSE
EXP000053,EMP015,Sales,3/5/2024,2/21/2024,213.93,USD,Airlines Corp,Technology,Personal Card,TRUE,FALSE
EXP000054,EMP017,Sales,9/4/2024,8/15/2024,1535.29,USD,Local Restaurant,Technology,Personal Card,TRUE,FALSE
EXP000055,EMP038,Sales,10/6/2024,9/9/2024,55.97,USD,Office Store,Meals,Corporate Card,TRUE,FALSE
EXP000056,EMP041,Engineering,12/8/2024,11/18/2024,300.15,USD,Tech Store,Office Supplies,Corporate Card,TRUE,FALSE
EXP000057,EMP025,Engineering,5/13/2024,5/9/2024,1583.5,USD,Airlines Corp,Technology,Corporate Card,TRUE,TRUE
EXP000058,EMP048,Engineering,12/14/2024,12/3/2024,426.4,USD,Local Restaurant,Training,Cash,TRUE,FALSE
EXP000059,EMP007,Sales,6/26/2024,5/27/2024,1236.74,USD,Local Restaurant,Travel,Cash,TRUE,FALSE
EXP000060,EMP012,HR,9/16/2024,9/2/2024,193.5,USD,Hotel Chain,Office Supplies,Cash,TRUE,FALSE
EXP000061,EMP019,Finance,1/2/2024,12/24/2023,1572.98,USD,Training Corp,Technology,Cash,TRUE,FALSE
EXP000062,EMP032,Finance,8/17/2024,8/10/2024,397.61,USD,Local Restaurant,Technology,Personal Card,TRUE,FALSE
EXP000063,EMP038,Finance,7/12/2024,6/17/2024,365.64,USD,Airlines Corp,Office Supplies,Corporate Card,TRUE,FALSE
EXP000064,EMP038,Sales,10/19/2024,9/28/2024,751.64,USD,Restaurant A,Technology,Corporate Card,TRUE,FALSE
EXP000065,EMP046,Sales,3/11/2024,2/24/2024,567.98,USD,Training Corp,Technology,Corporate Card,TRUE,FALSE
EXP000066,EMP003,Finance,7/1/2024,6/21/2024,616.25,USD,Tech Store,Technology,Cash,TRUE,FALSE
EXP000067,EMP020,HR,5/20/2024,5/19/2024,88.92,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000068,EMP010,HR,9/30/2024,9/16/2024,480.74,USD,Airlines Corp,Travel,Corporate Card,TRUE,TRUE
EXP000069,EMP042,Marketing,12/5/2024,11/15/2024,891.96,USD,Office Store,Technology,Personal Card,TRUE,FALSE
EXP000070,EMP039,HR,7/11/2024,6/17/2024,817.24,USD,Training Corp,Training,Personal Card,TRUE,FALSE
EXP000071,EMP003,HR,3/19/2024,3/12/2024,78.41,USD,Hotel Chain,Office Supplies,Cash,TRUE,FALSE
EXP000072,EMP011,Finance,6/19/2024,6/14/2024,119.38,USD,Hotel Chain,Meals,Cash,TRUE,TRUE
EXP000073,EMP024,Finance,2/5/2024,1/10/2024,989.83,USD,Hotel Chain,Technology,Cash,TRUE,FALSE
EXP000074,EMP014,Finance,3/4/2024,2/8/2024,120.2,USD,Tech Store,Office Supplies,Personal Card,TRUE,FALSE
EXP000075,EMP006,Sales,1/7/2024,1/4/2024,215.86,USD,Airlines Corp,Technology,Cash,TRUE,FALSE
EXP000076,EMP013,Sales,3/10/2024,2/12/2024,147.48,USD,Restaurant A,Meals,Personal Card,TRUE,FALSE
EXP000077,EMP050,Finance,12/31/2024,12/5/2024,827.89,USD,Tech Store,Technology,Cash,FALSE,FALSE
EXP000078,EMP019,Sales,4/4/2024,3/16/2024,3038.56,USD,Airlines Corp,Travel,Personal Card,TRUE,FALSE
EXP000079,EMP024,Engineering,12/3/2024,11/27/2024,710.07,USD,Hotel Chain,Technology,Personal Card,FALSE,FALSE
EXP000080,EMP028,Marketing,5/7/2024,4/23/2024,1271.59,USD,Tech Store,Technology,Personal Card,TRUE,FALSE
EXP000081,EMP018,Sales,4/8/2024,3/15/2024,122.69,USD,Local Restaurant,Meals,Personal Card,TRUE,FALSE
EXP000082,EMP023,HR,10/19/2024,10/15/2024,387.66,USD,Airlines Corp,Office Supplies,Corporate Card,TRUE,FALSE
EXP000083,EMP012,HR,7/2/2024,6/4/2024,118.14,USD,Airlines Corp,Office Supplies,Cash,TRUE,FALSE
EXP000084,EMP010,Sales,5/20/2024,4/23/2024,3753,USD,Restaurant A,Travel,Cash,TRUE,FALSE
EXP000085,EMP020,Sales,10/24/2024,10/23/2024,226.01,USD,Airlines Corp,Meals,Corporate Card,TRUE,TRUE
EXP000086,EMP039,Engineering,2/7/2024,1/18/2024,354.95,USD,Airlines Corp,Office Supplies,Corporate Card,TRUE,FALSE
EXP000087,EMP033,Marketing,5/23/2024,5/10/2024,1457.03,USD,Training Corp,Technology,Cash,FALSE,FALSE
EXP000088,EMP024,Engineering,8/10/2024,8/9/2024,3838.45,USD,Local Restaurant,Travel,Corporate Card,TRUE,TRUE
EXP000089,EMP029,HR,2/8/2024,2/8/2024,155.07,USD,Online Retailer,Travel,Cash,TRUE,TRUE
EXP000090,EMP038,Engineering,4/9/2024,3/29/2024,136.96,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000091,EMP039,Finance,6/16/2024,6/13/2024,389.31,USD,Office Store,Office Supplies,Personal Card,TRUE,FALSE
EXP000092,EMP016,Marketing,7/8/2024,6/25/2024,133.29,USD,Training Corp,Meals,Personal Card,TRUE,TRUE
EXP000093,EMP003,Finance,11/27/2024,11/15/2024,1577.58,USD,Airlines Corp,Technology,Corporate Card,TRUE,FALSE
EXP000094,EMP050,Marketing,11/15/2024,11/12/2024,77.65,USD,Tech Store,Meals,Corporate Card,FALSE,FALSE
EXP000095,EMP036,HR,2/14/2024,1/28/2024,286.92,USD,Restaurant A,Office Supplies,Personal Card,FALSE,FALSE
EXP000096,EMP048,Sales,10/19/2024,9/24/2024,148.36,USD,Training Corp,Meals,Cash,TRUE,FALSE
EXP000097,EMP009,HR,6/16/2024,6/11/2024,974.33,USD,Online Retailer,Training,Personal Card,TRUE,FALSE
EXP000098,EMP011,Engineering,11/29/2024,11/28/2024,301.64,USD,Online Retailer,Travel,Corporate Card,TRUE,TRUE
EXP000099,EMP028,Finance,2/28/2024,1/29/2024,859.38,USD,Local Restaurant,Technology,Corporate Card,TRUE,FALSE
EXP000100,EMP015,Engineering,1/7/2024,1/5/2024,252.3,USD,Online Retailer,Office Supplies,Corporate Card,TRUE,FALSE
EXP000101,EMP050,Finance,8/18/2024,8/16/2024,147.57,USD,Training Corp,Meals,Cash,TRUE,TRUE
EXP000102,EMP008,Finance,12/1/2024,11/27/2024,160.03,USD,Hotel Chain,Office Supplies,Personal Card,FALSE,FALSE
EXP000103,EMP036,Engineering,1/1/2024,12/9/2023,601.52,USD,Hotel Chain,Technology,Corporate Card,TRUE,FALSE
EXP000104,EMP033,HR,8/21/2024,8/21/2024,293.52,USD,Office Store,Office Supplies,Cash,TRUE,FALSE
EXP000105,EMP050,Engineering,9/4/2024,9/1/2024,1154.92,USD,Hotel Chain,Training,Personal Card,TRUE,FALSE
EXP000106,EMP028,Marketing,6/16/2024,6/14/2024,50.52,USD,Office Store,Meals,Personal Card,FALSE,FALSE
EXP000107,EMP049,Marketing,2/3/2024,1/13/2024,763.85,USD,Training Corp,Training,Cash,TRUE,FALSE
EXP000108,EMP028,Finance,7/21/2024,7/21/2024,314.38,USD,Hotel Chain,Technology,Personal Card,TRUE,FALSE
EXP000109,EMP016,Marketing,5/8/2024,4/12/2024,126.53,USD,Training Corp,Meals,Cash,TRUE,FALSE
EXP000110,EMP041,Engineering,1/17/2024,1/9/2024,878.36,USD,Local Restaurant,Technology,Personal Card,TRUE,FALSE
EXP000111,EMP046,Finance,1/7/2024,1/4/2024,96.87,USD,Local Restaurant,Technology,Corporate Card,TRUE,FALSE
EXP000112,EMP003,Sales,3/1/2024,2/1/2024,148.99,USD,Hotel Chain,Travel,Personal Card,TRUE,FALSE
EXP000113,EMP028,Marketing,3/6/2024,2/5/2024,66.66,USD,Restaurant A,Office Supplies,Personal Card,FALSE,TRUE
EXP000114,EMP050,Engineering,7/17/2024,7/13/2024,2399.46,USD,Tech Store,Technology,Personal Card,TRUE,TRUE
EXP000115,EMP044,Engineering,12/8/2024,11/17/2024,262.45,USD,Local Restaurant,Office Supplies,Cash,TRUE,FALSE
EXP000116,EMP038,Marketing,12/23/2024,12/4/2024,472.73,USD,Training Corp,Technology,Corporate Card,TRUE,FALSE
EXP000117,EMP011,Sales,7/15/2024,7/1/2024,1167.48,USD,Training Corp,Travel,Corporate Card,TRUE,FALSE
EXP000118,EMP031,Finance,5/7/2024,4/25/2024,858.24,USD,Online Retailer,Technology,Cash,TRUE,FALSE
EXP000119,EMP012,HR,10/7/2024,9/12/2024,318.5,USD,Online Retailer,Office Supplies,Cash,TRUE,FALSE
EXP000120,EMP021,Engineering,3/5/2024,3/1/2024,1117.35,USD,Local Restaurant,Training,Cash,TRUE,FALSE
EXP000121,EMP036,Finance,3/19/2024,3/17/2024,139.85,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000122,EMP014,Sales,1/21/2024,1/1/2024,696.73,USD,Local Restaurant,Technology,Cash,TRUE,FALSE
EXP000123,EMP022,HR,12/19/2024,12/2/2024,379.48,USD,Tech Store,Office Supplies,Cash,TRUE,FALSE
EXP000124,EMP021,HR,7/14/2024,6/22/2024,215.8,USD,Hotel Chain,Training,Corporate Card,TRUE,FALSE
EXP000125,EMP045,Finance,5/2/2024,4/4/2024,513.45,USD,Training Corp,Technology,Personal Card,TRUE,FALSE
EXP000126,EMP011,Finance,5/5/2024,4/14/2024,232.93,USD,Airlines Corp,Technology,Cash,TRUE,FALSE
EXP000127,EMP017,HR,11/5/2024,11/3/2024,62.26,USD,Hotel Chain,Training,Personal Card,TRUE,FALSE
EXP000128,EMP012,Marketing,10/20/2024,9/26/2024,2781.93,USD,Office Store,Travel,Personal Card,TRUE,FALSE
EXP000129,EMP041,Marketing,5/25/2024,5/5/2024,2473.08,USD,Tech Store,Travel,Cash,TRUE,FALSE
EXP000130,EMP004,HR,9/25/2024,9/17/2024,287.47,USD,Office Store,Technology,Corporate Card,TRUE,TRUE
EXP000131,EMP006,HR,8/27/2024,8/13/2024,214.54,USD,Airlines Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000132,EMP012,Marketing,12/13/2024,11/17/2024,668.15,USD,Restaurant A,Technology,Personal Card,TRUE,FALSE
EXP000133,EMP026,Finance,7/14/2024,7/9/2024,195.83,USD,Tech Store,Office Supplies,Corporate Card,TRUE,FALSE
EXP000134,EMP029,Sales,9/26/2024,9/19/2024,149.63,USD,Local Restaurant,Meals,Personal Card,TRUE,FALSE
EXP000135,EMP014,Engineering,6/30/2024,6/13/2024,866.97,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000136,EMP042,Marketing,3/29/2024,2/29/2024,824.5,USD,Office Store,Training,Corporate Card,TRUE,FALSE
EXP000137,EMP020,Sales,12/17/2024,12/1/2024,128.38,USD,Training Corp,Meals,Cash,FALSE,FALSE
EXP000138,EMP038,Sales,1/1/2024,12/18/2023,84.25,USD,Restaurant A,Meals,Cash,TRUE,FALSE
EXP000139,EMP036,Marketing,12/28/2024,12/24/2024,282.22,USD,Office Store,Training,Corporate Card,TRUE,FALSE
EXP000140,EMP027,Sales,2/2/2024,2/1/2024,144.11,USD,Local Restaurant,Meals,Corporate Card,TRUE,FALSE
EXP000141,EMP032,Marketing,5/26/2024,5/20/2024,58.73,USD,Office Store,Meals,Corporate Card,TRUE,FALSE
EXP000142,EMP003,Sales,10/28/2024,10/21/2024,2454.55,USD,Office Store,Travel,Personal Card,TRUE,FALSE
EXP000143,EMP008,Finance,1/12/2024,12/23/2023,1133.85,USD,Restaurant A,Technology,Corporate Card,TRUE,FALSE
EXP000144,EMP017,Sales,8/18/2024,8/15/2024,1748.8,USD,Tech Store,Travel,Personal Card,TRUE,FALSE
EXP000145,EMP020,Marketing,3/15/2024,2/29/2024,539.25,USD,Airlines Corp,Training,Corporate Card,FALSE,FALSE
EXP000146,EMP016,Sales,5/11/2024,4/16/2024,2304.23,USD,Airlines Corp,Travel,Cash,TRUE,FALSE
EXP000147,EMP015,HR,4/7/2024,3/19/2024,383.06,USD,Office Store,Office Supplies,Cash,TRUE,FALSE
EXP000148,EMP047,Finance,7/1/2024,6/8/2024,621.92,USD,Tech Store,Technology,Corporate Card,TRUE,FALSE
EXP000149,EMP026,HR,6/19/2024,6/13/2024,173.33,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000150,EMP004,Engineering,3/4/2024,2/29/2024,753.79,USD,Online Retailer,Technology,Personal Card,TRUE,FALSE
EXP000151,EMP036,Engineering,5/31/2024,5/1/2024,409.41,USD,Tech Store,Technology,Corporate Card,TRUE,FALSE
EXP000152,EMP009,Finance,5/13/2024,5/5/2024,321.26,USD,Airlines Corp,Technology,Personal Card,TRUE,FALSE
EXP000153,EMP025,Finance,11/28/2024,11/3/2024,391.16,USD,Tech Store,Travel,Corporate Card,TRUE,TRUE
EXP000154,EMP014,Engineering,12/9/2024,11/28/2024,833.56,USD,Airlines Corp,Training,Corporate Card,TRUE,FALSE
EXP000155,EMP045,Marketing,5/16/2024,4/17/2024,132.34,USD,Office Store,Meals,Cash,FALSE,FALSE
EXP000156,EMP014,Sales,8/12/2024,7/27/2024,597.13,USD,Training Corp,Travel,Cash,TRUE,FALSE
EXP000157,EMP004,Marketing,9/6/2024,8/11/2024,147.14,USD,Tech Store,Meals,Corporate Card,TRUE,FALSE
EXP000158,EMP035,HR,8/3/2024,8/2/2024,546.16,USD,Training Corp,Training,Personal Card,TRUE,FALSE
EXP000159,EMP029,HR,6/15/2024,5/24/2024,387.13,USD,Online Retailer,Office Supplies,Personal Card,TRUE,FALSE
EXP000160,EMP045,Marketing,8/23/2024,8/5/2024,995.14,USD,Training Corp,Training,Corporate Card,TRUE,FALSE
EXP000161,EMP033,Engineering,11/16/2024,10/25/2024,1076.56,USD,Training Corp,Technology,Corporate Card,TRUE,FALSE
EXP000162,EMP030,Marketing,5/26/2024,5/8/2024,578.41,USD,Online Retailer,Training,Cash,FALSE,FALSE
EXP000163,EMP037,Sales,5/5/2024,4/16/2024,252.3,USD,Restaurant A,Technology,Cash,TRUE,FALSE
EXP000164,EMP029,Sales,1/25/2024,12/31/2023,1010.87,USD,Training Corp,Technology,Cash,TRUE,FALSE
EXP000165,EMP012,Finance,3/11/2024,2/27/2024,246.06,USD,Local Restaurant,Office Supplies,Personal Card,TRUE,FALSE
EXP000166,EMP050,Engineering,2/8/2024,1/29/2024,1092.19,USD,Training Corp,Training,Personal Card,FALSE,FALSE
EXP000167,EMP047,HR,1/10/2024,1/8/2024,124.33,USD,Hotel Chain,Training,Corporate Card,TRUE,FALSE
EXP000168,EMP011,Marketing,6/20/2024,5/24/2024,3806.94,USD,Airlines Corp,Travel,Cash,TRUE,FALSE
EXP000169,EMP014,Sales,10/30/2024,10/19/2024,2857.04,USD,Tech Store,Travel,Personal Card,TRUE,FALSE
EXP000170,EMP007,Marketing,7/31/2024,7/9/2024,873.53,USD,Office Store,Training,Personal Card,TRUE,TRUE
EXP000171,EMP016,Engineering,1/21/2024,12/27/2023,1001.56,USD,Restaurant A,Training,Corporate Card,TRUE,FALSE
EXP000172,EMP047,Engineering,4/15/2024,4/12/2024,511.55,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000173,EMP023,Sales,9/1/2024,8/10/2024,3163.01,USD,Local Restaurant,Travel,Corporate Card,TRUE,FALSE
EXP000174,EMP017,Finance,9/10/2024,9/5/2024,711.29,USD,Restaurant A,Technology,Cash,TRUE,FALSE
EXP000175,EMP014,Finance,1/21/2024,1/6/2024,548.99,USD,Office Store,Technology,Personal Card,TRUE,FALSE
EXP000176,EMP037,Finance,9/15/2024,8/20/2024,125.74,USD,Local Restaurant,Office Supplies,Cash,TRUE,FALSE
EXP000177,EMP049,HR,11/15/2024,10/17/2024,1140.83,USD,Local Restaurant,Training,Personal Card,TRUE,FALSE
EXP000178,EMP039,Engineering,5/27/2024,5/20/2024,1309.35,USD,Airlines Corp,Technology,Cash,TRUE,FALSE
EXP000179,EMP019,Sales,3/4/2024,2/10/2024,1418.79,USD,Local Restaurant,Technology,Corporate Card,TRUE,FALSE
EXP000180,EMP023,Marketing,1/20/2024,1/3/2024,133.69,USD,Office Store,Office Supplies,Cash,TRUE,TRUE
EXP000181,EMP040,Sales,4/4/2024,3/23/2024,457.22,USD,Tech Store,Travel,Cash,TRUE,FALSE
EXP000182,EMP018,Marketing,10/28/2024,10/24/2024,1114.75,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000183,EMP027,Engineering,3/5/2024,3/2/2024,1263,USD,Local Restaurant,Training,Cash,TRUE,TRUE
EXP000184,EMP038,Marketing,3/12/2024,2/21/2024,326.15,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000185,EMP019,Engineering,5/26/2024,5/2/2024,970.12,USD,Hotel Chain,Technology,Corporate Card,TRUE,FALSE
EXP000186,EMP026,Finance,8/13/2024,8/6/2024,133.92,USD,Hotel Chain,Office Supplies,Cash,TRUE,FALSE
EXP000187,EMP042,Finance,11/27/2024,11/12/2024,1128.07,USD,Online Retailer,Technology,Corporate Card,TRUE,FALSE
EXP000188,EMP024,Sales,2/6/2024,1/17/2024,119.96,USD,Restaurant A,Meals,Cash,FALSE,FALSE
EXP000189,EMP042,HR,4/6/2024,3/11/2024,191.3,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000190,EMP017,Finance,1/24/2024,1/23/2024,209.57,USD,Tech Store,Technology,Cash,TRUE,FALSE
EXP000191,EMP050,Sales,8/3/2024,7/19/2024,158.16,USD,Tech Store,Meals,Corporate Card,TRUE,FALSE
EXP000192,EMP034,Sales,3/22/2024,3/9/2024,3204.95,USD,Local Restaurant,Technology,Cash,TRUE,TRUE
EXP000193,EMP017,Marketing,11/21/2024,11/19/2024,1454.07,USD,Office Store,Technology,Cash,TRUE,FALSE
EXP000194,EMP011,Sales,2/24/2024,2/19/2024,51.23,USD,Local Restaurant,Meals,Corporate Card,TRUE,FALSE
EXP000195,EMP005,HR,12/23/2024,12/4/2024,270.62,USD,Training Corp,Office Supplies,Personal Card,TRUE,FALSE
EXP000196,EMP035,Marketing,3/19/2024,2/28/2024,128.84,USD,Tech Store,Technology,Cash,TRUE,FALSE
EXP000197,EMP043,Sales,8/17/2024,8/3/2024,100.44,USD,Hotel Chain,Meals,Cash,TRUE,FALSE
EXP000198,EMP020,Sales,8/10/2024,7/29/2024,61.69,USD,Tech Store,Meals,Personal Card,TRUE,FALSE
EXP000199,EMP049,Finance,3/4/2024,2/8/2024,384.05,USD,Restaurant A,Meals,Personal Card,TRUE,TRUE
EXP000200,EMP024,Sales,1/6/2024,12/16/2023,734.24,USD,Restaurant A,Technology,Corporate Card,TRUE,FALSE
EXP000201,EMP028,Marketing,5/21/2024,5/3/2024,479.73,USD,Office Store,Technology,Corporate Card,TRUE,FALSE
EXP000202,EMP014,Sales,9/28/2024,9/24/2024,261.17,USD,Office Store,Training,Personal Card,TRUE,TRUE
EXP000203,EMP002,Engineering,9/12/2024,9/7/2024,6689.16,USD,Restaurant A,Travel,Cash,TRUE,TRUE
EXP000204,EMP024,Marketing,3/17/2024,3/15/2024,1187.91,USD,Tech Store,Training,Corporate Card,TRUE,FALSE
EXP000205,EMP045,Engineering,8/28/2024,8/17/2024,1088.24,USD,Restaurant A,Training,Corporate Card,TRUE,FALSE
EXP000206,EMP029,Sales,11/14/2024,11/8/2024,2956.68,USD,Hotel Chain,Travel,Corporate Card,TRUE,FALSE
EXP000207,EMP009,Sales,2/23/2024,2/9/2024,1030.58,USD,Tech Store,Travel,Cash,TRUE,FALSE
EXP000208,EMP040,Marketing,1/9/2024,1/2/2024,71.67,USD,Restaurant A,Meals,Cash,TRUE,FALSE
EXP000209,EMP043,Finance,9/18/2024,8/28/2024,131.27,USD,Hotel Chain,Office Supplies,Cash,TRUE,FALSE
EXP000210,EMP003,Sales,3/27/2024,2/26/2024,2755.61,USD,Restaurant A,Travel,Corporate Card,TRUE,FALSE
EXP000211,EMP049,Engineering,2/13/2024,2/2/2024,1182.78,USD,Office Store,Training,Personal Card,TRUE,FALSE
EXP000212,EMP020,Finance,1/26/2024,1/7/2024,951.12,USD,Restaurant A,Technology,Corporate Card,TRUE,FALSE
EXP000213,EMP003,Finance,8/11/2024,7/20/2024,400.5,USD,Airlines Corp,Office Supplies,Corporate Card,TRUE,TRUE
EXP000214,EMP009,Marketing,7/9/2024,6/13/2024,258.79,USD,Online Retailer,Office Supplies,Personal Card,TRUE,TRUE
EXP000215,EMP025,Finance,1/14/2024,12/15/2023,342.61,USD,Tech Store,Technology,Corporate Card,TRUE,FALSE
EXP000216,EMP047,Sales,5/29/2024,5/11/2024,1706.25,USD,Online Retailer,Travel,Personal Card,FALSE,FALSE
EXP000217,EMP029,Finance,9/28/2024,9/18/2024,160.55,USD,Online Retailer,Office Supplies,Corporate Card,TRUE,FALSE
EXP000218,EMP016,Marketing,11/10/2024,10/24/2024,241.21,USD,Training Corp,Training,Corporate Card,TRUE,FALSE
